dealer_id,month,model_wise_cr,sales_advisor_cr,market_share,ssi,csat,monthly_sales,booking_pipeline,accessories_per_car,monthly_accessories_sales,cptv,tat_complaint_resolution,composite_score
D003,2024-09-01,27.5,21.5,15.3,93.0,4.2,125,79,5545.0,422495.0,1.4,9.4,47.1
D003,2024-10-01,38.1,29.7,21.1,93.0,4.2,173,114,5681.0,583972.0,1.4,9.6,56.4
D003,2024-11-01,33.4,26.1,18.5,94.0,4.2,152,102,5764.0,512854.0,1.4,9.7,52.6
D003,2024-12-01,25.6,20.0,14.2,90.0,4.1,116,65,5150.0,392429.0,1.3,9.0,44.1
D004,2023-01-01,21.9,17.1,26.5,84.0,4.5,52,36,6335.0,193850.0,1.4,6.1,43.7
D004,2023-02-01,19.1,14.9,23.1,80.0,4.3,46,25,5529.0,169194.0,1.2,5.6,39.2
D004,2023-03-01,21.8,17.0,26.3,84.0,4.4,52,35,6302.0,192839.0,1.4,6.1,43.2
D004,2023-04-01,18.5,14.5,22.4,82.0,4.4,44,28,5965.0,164252.0,1.3,5.9,39.7
D004,2023-05-01,20.0,15.6,24.2,83.0,4.4,48,31,6135.0,177462.0,1.4,6.0,41.2
D004,2023-06-01,19.7,15.3,23.8,81.0,4.3,47,27,5691.0,174133.0,1.3,5.7,39.9
D004,2023-07-01,20.9,16.3,25.3,83.0,4.4,50,32,6042.0,184881.0,1.3,5.9,42.2
D004,2023-08-01,23.2,18.1,28.1,86.0,4.5,56,41,6716.0,205514.0,1.5,6.3,45.5
D004,2023-09-01,19.4,15.2,23.5,80.0,4.3,47,26,5628.0,172205.0,1.2,5.7,39.6
D004,2023-10-01,22.2,17.3,26.9,79.0,4.3,53,27,5389.0,196688.0,1.2,5.6,41.7
D004,2023-11-01,26.2,20.5,31.7,85.0,4.5,63,45,6584.0,232275.0,1.5,6.3,48.0
D004,2023-12-01,22.3,17.4,26.9,85.0,4.5,53,37,6442.0,197122.0,1.4,6.2,44.4
D004,2024-01-01,20.3,15.9,24.6,82.0,4.4,49,30,5890.0,180224.0,1.3,5.9,41.3
D004,2024-02-01,22.1,17.2,26.7,84.0,4.5,53,37,6392.0,195607.0,1.4,6.2,43.9
D004,2024-03-01,20.6,16.0,24.9,82.0,4.4,49,31,5948.0,182024.0,1.3,5.9,41.5
D004,2024-04-01,22.2,17.3,26.8,87.0,4.6,53,40,6786.0,196289.0,1.5,6.4,45.2
D004,2024-05-01,20.3,15.9,24.6,86.0,4.5,49,35,6621.0,180162.0,1.5,6.3,42.8
D004,2024-06-01,22.5,17.5,27.2,85.0,4.5,54,38,6502.0,198958.0,1.4,6.2,44.6
D004,2024-07-01,20.1,15.7,24.3,81.0,4.3,48,29,5824.0,178206.0,1.3,5.8,40.4
D004,2024-08-01,19.7,15.4,23.9,81.0,4.3,47,27,5710.0,174712.0,1.3,5.8,40.0
D004,2024-09-01,20.9,16.3,25.3,83.0,4.4,50,32,6041.0,184848.0,1.3,5.9,42.2
D004,2024-10-01,30.6,23.9,37.0,87.0,4.6,73,55,6776.0,270844.0,1.5,6.4,53.0
D004,2024-11-01,29.8,23.2,36.1,86.0,4.5,72,52,6622.0,263980.0,1.5,6.3,51.6
D004,2024-12-01,21.6,16.9,26.1,84.0,4.4,52,35,6253.0,191339.0,1.4,6.1,43.0
D005,2023-01-01,48.2,37.6,11.4,85.0,3.0,63,39,4435.0,172983.0,5.5,3.0,41.8
D005,2023-02-01,54.3,42.3,12.9,89.0,3.1,71,52,4996.0,194853.0,6.2,3.2,46.4
D005,2023-03-01,44.7,34.8,10.6,83.0,3.0,58,32,4112.0,160381.0,5.1,2.9,39.4
D005,2023-04-01,47.4,37.0,11.3,88.0,3.1,62,44,4847.0,170426.0,6.0,3.2,42.2
D005,2023-05-01,49.2,38.4,11.7,88.0,3.1,65,45,4803.0,176887.0,5.9,3.2,43.3
D005,2023-06-01,51.8,40.4,12.3,88.0,3.1,68,47,4775.0,186217.0,5.9,3.2,44.8
D005,2023-07-01,53.1,41.4,12.6,89.0,3.1,70,50,4890.0,190713.0,6.0,3.2,45.8
D005,2023-08-01,48.6,37.9,11.5,85.0,3.0,64,40,4476.0,174572.0,5.5,3.0,42.1
D005,2023-09-01,52.9,41.2,12.5,88.0,3.1,69,50,4868.0,189837.0,6.0,3.2,45.4
D005,2023-10-01,62.5,48.7,14.8,89.0,3.1,82,61,4997.0,224418.0,6.2,3.2,51.3
D005,2023-11-01,61.8,48.2,14.7,86.0,3.1,81,54,4593.0,221870.0,5.7,3.1,50.4
D005,2023-12-01,46.3,36.1,11.0,84.0,3.0,61,36,4268.0,166451.0,5.3,3.0,40.5
D005,2024-01-01,52.1,40.6,12.4,88.0,3.1,68,48,4799.0,187150.0,5.9,3.2,45.0
D005,2024-02-01,44.2,34.5,10.5,82.0,3.0,58,31,4074.0,158885.0,5.0,2.9,39.0
D005,2024-03-01,53.6,41.8,12.7,89.0,3.1,70,51,4940.0,192672.0,6.1,3.2,46.0
D005,2024-04-01,42.8,33.4,10.2,84.0,3.0,56,32,4226.0,153730.0,5.2,2.9,38.6
D005,2024-05-01,49.0,38.2,11.6,88.0,3.1,64,46,4846.0,175955.0,6.0,3.2,43.1
D005,2024-06-01,50.8,39.6,12.1,87.0,3.1,67,45,4679.0,182467.0,5.8,3.1,44.1
D005,2024-07-01,47.7,37.2,11.3,85.0,3.0,63,39,4397.0,171487.0,5.4,3.0,41.6
D005,2024-08-01,46.5,36.3,11.0,84.0,3.0,61,36,4286.0,167156.0,5.3,3.0,40.7
D005,2024-09-01,46.1,35.9,10.9,84.0,3.0,60,35,4243.0,165471.0,5.2,2.9,40.5
D005,2024-10-01,65.6,51.1,15.6,89.0,3.1,86,63,4974.0,235443.0,6.1,3.2,53.2
D005,2024-11-01,61.9,48.3,14.7,89.0,3.1,81,58,4893.0,222399.0,6.0,3.2,51.1
D005,2024-12-01,47.5,37.0,11.3,85.0,3.0,62,38,4370.0,170441.0,5.4,3.0,41.4
D006,2023-01-01,36.9,28.7,18.8,88.0,3.6,32,20,6988.0,142550.0,4.9,8.5,39.9
D006,2023-02-01,38.7,30.2,19.7,90.0,3.6,34,22,7336.0,149659.0,5.2,8.8,41.3
D006,2023-03-01,42.8,33.4,21.8,94.0,3.7,38,28,8110.0,165447.0,5.7,9.3,45.1
D006,2023-04-01,32.5,25.4,16.6,87.0,3.5,28,16,6730.0,125825.0,4.7,8.4,36.6
D006,2023-05-01,29.8,23.2,15.2,86.0,3.5,26,14,6603.0,115110.0,4.7,8.3,34.5
D006,2023-06-01,38.8,30.3,19.8,90.0,3.6,34,22,7363.0,150203.0,5.2,8.8,41.4
D006,2023-07-01,40.7,31.7,20.7,92.0,3.7,36,25,7716.0,157399.0,5.4,9.1,43.4
D006,2023-08-01,42.3,33.0,21.5,93.0,3.7,37,27,8021.0,163623.0,5.6,9.3,44.5
D006,2023-09-01,33.8,26.4,17.2,86.0,3.5,30,15,6411.0,130786.0,4.5,8.1,37.3
D006,2023-10-01,47.7,37.2,24.3,89.0,3.6,42,27,7203.0,184352.0,5.1,8.7,46.9
D006,2023-11-01,49.7,38.8,25.3,90.0,3.6,44,29,7358.0,192307.0,5.2,8.8,48.4
D006,2023-12-01,40.0,31.2,20.4,91.0,3.6,35,24,7580.0,154624.0,5.3,9.0,42.4
D006,2024-01-01,39.7,31.0,20.2,91.0,3.6,35,24,7529.0,153596.0,5.3,8.9,42.2
D006,2024-02-01,34.7,27.1,17.7,86.0,3.5,30,17,6587.0,134379.0,4.6,8.2,37.8
D006,2024-03-01,41.0,32.0,20.9,92.0,3.7,36,26,7776.0,158626.0,5.5,9.1,43.5
D006,2024-04-01,34.6,27.0,17.6,91.0,3.6,30,21,7600.0,133688.0,5.4,9.0,38.8
D006,2024-05-01,34.2,26.7,17.4,90.0,3.6,30,19,7278.0,132381.0,5.1,8.7,38.6
D006,2024-06-01,42.0,32.7,21.4,93.0,3.7,37,27,7956.0,162305.0,5.6,9.2,44.4
D006,2024-07-01,41.8,32.6,21.3,93.0,3.7,37,27,7933.0,161828.0,5.6,9.2,44.2
D006,2024-08-01,41.2,32.1,21.0,92.0,3.7,36,26,7807.0,159270.0,5.5,9.1,43.6
D006,2024-09-01,38.3,29.9,19.5,90.0,3.6,34,22,7272.0,148342.0,5.1,8.7,41.2
D006,2024-10-01,49.8,38.8,25.4,90.0,3.6,44,28,7276.0,192563.0,5.1,8.7,48.6
D006,2024-11-01,49.5,38.6,25.2,89.0,3.6,43,27,7085.0,191344.0,5.0,8.6,48.1
D006,2024-12-01,42.6,33.2,21.7,94.0,3.7,37,28,8073.0,164682.0,5.7,9.3,44.9
D007,2023-01-01,58.0,45.3,9.8,74.0,3.3,116,86,7854.0,499522.0,1.4,6.5,53.3
D007,2023-02-01,36.0,28.1,8.6,71.0,3.2,72,64,6883.0,437732.0,1.3,6.2,39.4
D007,2023-03-01,53.9,42.0,9.1,73.0,3.2,108,76,7294.0,463887.0,1.4,6.5,49.7
D007,2023-04-01,44.6,34.8,7.5,70.0,3.2,89,54,6499.0,383666.0,1.3,6.2,42.7
D007,2023-05-01,44.0,34.3,7.4,70.0,3.2,88,54,6478.0,378965.0,1.3,6.4,42.2
D007,2023-06-01,26.2,20.4,7.3,68.0,3.1,52,44,5809.0,369451.0,1.2,6.1,31.6
D007,2023-07-01,48.7,38.0,8.2,72.0,3.2,97,65,6586.0,418857.0,1.4,6.8,45.6
D007,2023-08-01,42.9,33.5,7.3,69.0,3.1,86,48,5813.0,369703.0,1.3,6.4,40.5
D007,2023-09-01,24.6,19.2,7.3,69.0,3.1,49,49,5810.0,369486.0,1.3,6.6,30.9
D007,2023-10-01,50.2,39.2,8.5,69.0,3.1,101,58,5751.0,432571.0,1.4,6.7,44.8
D007,2023-11-01,24.6,19.2,8.2,68.0,3.1,49,52,5456.0,417067.0,1.3,6.6,30.9
D007,2023-12-01,39.2,30.6,6.6,68.0,3.1,78,42,5307.0,337527.0,1.3,6.7,37.5
D007,2024-01-01,41.0,31.9,6.9,70.0,3.1,82,49,5544.0,352576.0,1.4,7.0,39.1
D007,2024-02-01,40.7,31.7,6.9,70.0,3.2,81,49,5504.0,350037.0,1.5,7.2,39.1
D007,2024-03-01,45.3,35.3,7.7,74.0,3.3,91,66,6129.0,389787.0,1.7,7.8,43.6
D007,2024-04-01,37.5,29.2,6.3,71.0,3.2,75,48,5501.0,322811.0,1.6,7.5,37.2
D007,2024-05-01,33.7,26.3,5.7,69.0,3.1,67,39,5046.0,290506.0,1.5,7.3,33.8
D007,2024-06-01,37.3,29.1,6.3,70.0,3.1,75,45,5048.0,321062.0,1.5,7.5,36.3
D007,2024-07-01,38.9,30.3,6.6,71.0,3.2,78,51,5260.0,334525.0,1.6,7.8,37.9
D007,2024-08-01,36.2,28.3,6.1,70.0,3.2,72,44,4906.0,312034.0,1.6,7.7,35.7
D007,2024-09-01,33.5,26.2,5.7,69.0,3.1,67,37,4539.0,288666.0,1.5,7.5,33.4
D007,2024-10-01,48.4,37.7,8.2,72.0,3.2,97,65,4979.0,416598.0,1.7,8.2,43.7
D007,2024-11-01,43.4,33.9,7.3,69.0,3.1,87,51,4483.0,373653.0,1.6,7.9,39.2
D007,2024-12-01,33.2,25.9,5.6,70.0,3.2,66,40,4493.0,285726.0,1.7,8.1,33.4
D008,2023-01-01,31.3,24.4,21.5,88.0,4.6,103,68,3500.0,214218.0,2.8,3.2,48.7
D008,2023-02-01,33.3,26.0,22.8,90.0,4.7,109,79,3725.0,227983.0,3.0,3.3,51.3
D008,2023-03-01,31.9,24.9,21.8,88.0,4.6,105,71,3564.0,218114.0,2.8,3.2,49.3
D008,2023-04-01,29.4,22.9,20.1,88.0,4.6,96,65,3537.0,200956.0,2.8,3.2,47.2
D008,2023-05-01,30.6,23.9,20.9,91.0,4.7,100,75,3835.0,209199.0,3.1,3.4,49.2
D008,2023-06-01,31.2,24.4,21.4,88.0,4.6,103,67,3489.0,213529.0,2.8,3.2,48.7
D008,2023-07-01,31.7,24.7,21.7,88.0,4.6,104,70,3542.0,216776.0,2.8,3.2,49.1
D008,2023-08-01,28.8,22.5,19.8,85.0,4.5,95,55,3223.0,197259.0,2.6,3.0,45.5
D008,2023-09-01,31.8,24.8,21.8,88.0,4.6,105,71,3559.0,217819.0,2.8,3.2,49.2
D008,2023-10-01,36.1,28.2,24.7,85.0,4.5,119,67,3194.0,247111.0,2.6,3.0,51.4
D008,2023-11-01,36.8,28.7,25.2,88.0,4.6,121,81,3541.0,251832.0,2.8,3.2,53.3
D008,2023-12-01,32.9,25.6,22.5,89.0,4.7,108,76,3674.0,224824.0,2.9,3.3,50.7
D008,2024-01-01,31.1,24.3,21.3,87.0,4.6,102,67,3474.0,212630.0,2.8,3.2,48.3
D008,2024-02-01,28.9,22.5,19.8,85.0,4.5,95,55,3228.0,197577.0,2.6,3.0,45.6
D008,2024-03-01,32.2,25.1,22.0,89.0,4.6,106,72,3593.0,219893.0,2.9,3.2,49.7
D008,2024-04-01,26.2,20.4,17.9,87.0,4.5,86,54,3407.0,178888.0,2.7,3.1,43.9
D008,2024-05-01,24.8,19.3,17.0,85.0,4.5,81,46,3193.0,169308.0,2.6,3.0,42.2
D008,2024-06-01,28.7,22.4,19.7,85.0,4.5,94,54,3208.0,196335.0,2.6,3.0,45.4
D008,2024-07-01,30.1,23.5,20.6,86.0,4.5,99,61,3361.0,205694.0,2.7,3.1,46.8
D008,2024-08-01,27.6,21.5,18.9,83.0,4.4,91,48,3083.0,188665.0,2.5,3.0,43.5
D008,2024-09-01,30.2,23.5,20.7,86.0,4.5,99,62,3370.0,206256.0,2.7,3.1,46.9
D008,2024-10-01,38.6,30.1,26.4,87.0,4.6,127,82,3441.0,263737.0,2.8,3.2,54.4
D008,2024-11-01,41.0,32.0,28.1,90.0,4.7,135,97,3736.0,280456.0,3.0,3.3,57.7
D008,2024-12-01,28.3,22.1,19.4,84.0,4.4,93,52,3161.0,193444.0,2.5,3.0,44.5
D009,2023-01-01,35.3,27.5,9.3,95.0,2.9,106,62,1610.0,110112.0,3.3,5.5,39.8
D009,2023-02-01,40.0,31.2,10.6,100.0,3.1,120,85,1822.0,124644.0,3.8,5.9,44.8
D009,2023-03-01,41.5,32.4,11.0,100.0,3.1,125,92,1892.0,129399.0,3.9,6.0,45.8
D009,2023-04-01,30.4,23.7,8.0,95.0,2.9,91,53,1609.0,94739.0,3.3,5.5,36.4
D009,2023-05-01,33.0,25.7,8.7,96.0,3.0,99,59,1626.0,102901.0,3.4,5.5,38.8
D009,2023-06-01,38.8,30.3,10.3,99.0,3.0,117,79,1771.0,121124.0,3.6,5.8,43.5
D009,2023-07-01,33.9,26.4,9.0,94.0,2.9,102,55,1547.0,105784.0,3.2,5.3,38.7
D009,2023-08-01,37.3,29.1,9.9,97.0,3.0,112,71,1700.0,116256.0,3.5,5.6,42.0
D009,2023-09-01,39.9,31.1,10.5,100.0,3.1,120,84,1818.0,124354.0,3.7,5.9,44.8
D009,2023-10-01,52.2,40.7,13.8,100.0,3.1,157,113,1849.0,162842.0,3.8,5.9,53.2
D009,2023-11-01,53.2,41.5,14.1,100.0,3.1,161,114,1832.0,166106.0,3.8,5.9,53.9
D009,2023-12-01,39.3,30.6,10.4,99.0,3.0,118,81,1790.0,122449.0,3.7,5.8,43.7
D009,2024-01-01,33.5,26.1,8.8,93.0,2.9,101,53,1526.0,104388.0,3.1,5.3,38.2
D009,2024-02-01,38.0,29.7,10.1,98.0,3.0,114,75,1734.0,118593.0,3.6,5.7,42.7
D009,2024-03-01,33.5,26.1,8.9,93.0,2.9,101,53,1529.0,104557.0,3.1,5.3,38.2
D009,2024-04-01,33.6,26.2,8.9,96.0,3.0,101,61,1645.0,104758.0,3.4,5.5,39.3
D009,2024-05-01,32.4,25.2,8.6,96.0,3.0,97,58,1628.0,100938.0,3.4,5.5,38.4
D009,2024-06-01,40.3,31.4,10.6,100.0,3.1,121,86,1836.0,125579.0,3.8,5.9,45.0
D009,2024-07-01,41.2,32.1,10.9,100.0,3.1,124,91,1879.0,128515.0,3.9,6.0,45.6
D009,2024-08-01,36.8,28.7,9.7,97.0,3.0,111,69,1678.0,114745.0,3.5,5.6,41.6
D009,2024-09-01,41.0,32.0,10.8,100.0,3.1,123,90,1869.0,127849.0,3.9,6.0,45.4
D009,2024-10-01,45.7,35.7,12.1,98.0,3.0,138,91,1734.0,142706.0,3.6,5.7,48.0
D009,2024-11-01,47.7,37.2,12.6,96.0,3.0,144,87,1648.0,148950.0,3.4,5.5,48.9
D009,2024-12-01,41.8,32.6,11.1,100.0,3.1,126,94,1907.0,130421.0,3.9,6.1,46.0
D010,2023-01-01,27.1,21.2,19.6,100.0,2.9,175,132,10273.0,967672.0,1.0,10.6,52.0
D010,2023-02-01,26.4,20.6,19.1,100.0,2.9,170,124,9998.0,941775.0,1.0,10.5,51.0
D010,2023-03-01,24.6,19.2,17.8,97.0,2.9,159,106,9328.0,878664.0,0.9,10.0,48.0
D010,2023-04-01,20.7,16.2,15.0,94.0,2.8,134,80,8710.0,739825.0,0.8,9.6,42.4
D010,2023-05-01,23.7,18.5,17.1,100.0,2.9,153,111,9953.0,845403.0,1.0,10.4,48.0
D010,2023-06-01,25.3,19.8,18.3,98.0,2.9,163,113,9593.0,903694.0,0.9,10.2,49.2
D010,2023-07-01,23.0,18.0,16.6,94.0,2.8,149,89,8722.0,821642.0,0.8,9.6,44.8
D010,2023-08-01,22.5,17.6,16.3,94.0,2.8,145,83,8527.0,803248.0,0.8,9.5,44.1
D010,2023-09-01,22.9,17.9,16.5,94.0,2.8,148,87,8668.0,816485.0,0.8,9.6,44.6
D010,2023-10-01,25.9,20.2,18.7,93.0,2.8,167,91,8294.0,924989.0,0.8,9.3,47.3
D010,2023-11-01,27.2,21.2,19.6,93.0,2.8,175,96,8333.0,968480.0,0.8,9.4,48.7
D010,2023-12-01,22.4,17.4,16.1,93.0,2.8,144,81,8462.0,797111.0,0.8,9.5,43.6
D010,2024-01-01,24.5,19.1,17.7,97.0,2.9,158,104,9289.0,875069.0,0.9,10.0,47.8
D010,2024-02-01,22.3,17.4,16.1,93.0,2.8,144,81,8446.0,795593.0,0.8,9.4,43.6
D010,2024-03-01,21.7,16.9,15.7,92.0,2.8,140,75,8224.0,774677.0,0.8,9.3,42.5
D010,2024-04-01,20.0,15.6,14.4,94.0,2.8,129,74,8569.0,711707.0,0.8,9.5,41.4
D010,2024-05-01,19.8,15.4,14.3,93.0,2.8,128,70,8309.0,705601.0,0.8,9.4,40.8
D010,2024-06-01,25.7,20.1,18.6,99.0,2.9,166,117,9740.0,917523.0,0.9,10.3,50.0
D010,2024-07-01,26.6,20.8,19.2,100.0,2.9,172,126,10081.0,949599.0,1.0,10.5,51.3
D010,2024-08-01,25.7,20.0,18.5,99.0,2.9,166,116,9722.0,915792.0,0.9,10.3,49.9
D010,2024-09-01,24.5,19.1,17.7,97.0,2.8,158,104,9258.0,872058.0,0.9,10.0,47.4
D010,2024-10-01,33.6,26.2,24.2,98.0,2.9,217,150,9615.0,1197480.0,0.9,10.2,58.1
D010,2024-11-01,27.2,21.3,19.7,95.0,2.8,176,110,8952.0,971515.0,0.9,9.8,49.6
D010,2024-12-01,26.3,20.5,19.0,100.0,2.9,170,123,9959.0,938119.0,1.0,10.4,50.9
D011,2023-01-01,35.4,27.6,30.1,98.0,4.2,198,147,7109.0,767791.0,5.2,4.9,59.2
D011,2023-02-01,29.2,22.8,24.8,91.0,4.0,163,90,5864.0,633314.0,4.3,4.4,50.0
D011,2023-03-01,33.3,26.0,28.3,95.0,4.2,186,127,6680.0,721491.0,4.9,4.8,56.1
D011,2023-04-01,27.1,21.1,23.0,94.0,4.1,151,96,6361.0,587596.0,4.7,4.6,49.0
D011,2023-05-01,27.7,21.6,23.5,92.0,4.1,155,93,6132.0,599618.0,4.5,4.5,49.1
D011,2023-06-01,31.8,24.8,27.0,94.0,4.1,178,113,6375.0,688516.0,4.7,4.6,53.9
